Company,Type,Screen (in),CPU,RAM,OS,Launch Year,Price (USD)
Mediacom,Notebook,13.3,Intel Atom x5-Z8350 1.44GHz,4GB,Windows 10,2018,163.04
Lenovo,Notebook,17.3,Intel Core i7-7500U 2.7GHz,6GB,Windows 10,2017,606.75
HP,Notebook,15.6,AMD A10-Series A10-9620P 2.5GHz,6GB,Windows 10,2017,363.73
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,395.06
Acer,2-in-1 Convertible,11.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,223.14
Lenovo,Notebook,15.6,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,402.8
HP,Ultrabook,13.3,Intel Core m5-6Y54 1.1GHz,16GB,Windows 10,2016,1256.34
Lenovo,Notebook,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1917.44
Asus,Notebook,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,536.42
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,1022.34
Dell,Notebook,15.6,Intel Core i5-7300U 2.6GHz,4GB,Windows 10,2017,613.15
Fujitsu,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,472.49
Lenovo,Notebook,15.6,Intel Pentium N4200 1.1GHz,4GB,Windows 10,2016,219.94
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,632.97
HP,Workstation,17.3,Intel Core i5-7440HQ 2.8GHz,8GB,Windows 10,2017,1189.84
HP,Notebook,14,Intel Pentium Quad Core N3710 1.6GHz,8GB,Windows 10,2016,248.71
HP,Notebook,15.6,AMD A9-Series A9-9420 3GHz,6GB,Windows 10,2017,414.94
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,530.67
Lenovo,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,437.96
Mediacom,Notebook,14,Intel Atom x5-Z8350 1.44GHz,4GB,Windows 10,2018,159.2
Toshiba,Ultrabook,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1192.41
Lenovo,Gaming,17.3,Intel Core i7-6820HK 2.7GHz,32GB,Windows 10,2016,1702.62
MSI,Gaming,17.3,Intel Core i7-7820HK 2.9GHz,16GB,Windows 10,2017,1744.81
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Linux,2017,478.89
Mediacom,Notebook,14,Intel Celeron N3450 1.1GHz,4GB,Windows 10,2016,248.71
Dell,Notebook,15.6,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,644.81
HP,Notebook,13.3,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,459.7
Dell,Notebook,15.6,Intel Core i7-7600U 2.8GHz,16GB,Windows 10,2017,982.95
Dell,Netbook,11.6,Intel Celeron N3060 1.6GHz,4GB,Chrome OS,2016,188.61
MSI,Gaming,17.3,Intel Core i7-6820HK 2.7GHz,16GB,Windows 10,2016,1501.86
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,957.76
Lenovo,Ultrabook,14,Intel Core i7-6600U 2.6GHz,12GB,Windows 10,2016,1069.65
Lenovo,Notebook,15.6,Intel Core i7-8550U 1.8GHz,12GB,Windows 10,2018,389.37
Asus,Gaming,17.3,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,1131.67
Asus,2-in-1 Convertible,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,472.49
Lenovo,Notebook,15.6,AMD A12-9720P 2.7GHz,12GB,Windows 10,2017,606.75
Dell,2-in-1 Convertible,11.6,Intel Core m3-7Y30 1.0GHz,4GB,Windows 10,2016,385.53
Samsung,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1086.27
Lenovo,Notebook,17.3,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,338.22
Lenovo,Notebook,15.6,Intel Core i3-6100U 2.3GHz,8GB,Windows 10,2016,293.47
Lenovo,2-in-1 Convertible,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1294.7
Lenovo,Notebook,14,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,942.42
Dell,2-in-1 Convertible,12.5,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,1067.73
Dell,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1127.19
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,779.38
HP,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,427.4
Acer,Notebook,14,Intel Celeron N3450 1.1GHz,4GB,Windows 10,2016,210.35
MSI,Gaming,17.3,Intel Core i7-6820HK 2.7GHz,16GB,Windows 10,2016,1405.95
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,297.3
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1469.89
Toshiba,Notebook,15.6,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,894.46
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,360.6
Lenovo,2-in-1 Convertible,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,830.53
Acer,Notebook,14,Intel Pentium Quad Core N3710 1.6GHz,4GB,Windows 10,2016,223.14
Lenovo,Notebook,15.6,Intel Xeon E3-1535M v6 3.1GHz,32GB,Windows 10,2016,3132.22
Dell,Gaming,15.6,Intel Core i7-6700HQ 2.6GHz,16GB,Windows 10,2016,562
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,283.81
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,229.53
Dell,Notebook,15.6,Intel Core i5-7300U 2.6GHz,4GB,Linux,2017,555.6
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,746.77
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Linux,2017,363.8
HP,Ultrabook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,888.07
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1449.98
Acer,2-in-1 Convertible,11.6,Intel Celeron Quad Core N3160 1.6GHz,4GB,Chrome OS,2016,242.32
HP,Notebook,14,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,718.64
Lenovo,Notebook,14,Intel Core i5-6200U 2.3GHz,8GB,Windows 7,2016,936.66
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,496.14
Fujitsu,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,510.85
HP,Notebook,15.6,Intel Core i5-6200U 2.3GHz,4GB,Windows 7,2016,595.88
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,574.78
Mediacom,Notebook,14,Intel Atom x5-Z8350 1.44GHz,2GB,Windows 10,2018,152.81
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,No OS,2017,299.22
Asus,2-in-1 Convertible,13.3,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,408.56
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1163.64
Asus,Ultrabook,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1214.78
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,945.61
Lenovo,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,530.03
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,370.19
Asus,Notebook,15.6,Intel Celeron N3350 1.1GHz,8GB,Windows 10,2016,255.1
Asus,Notebook,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,579.66
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,1194.96
Lenovo,Notebook,14,Intel Celeron N3060 1.6GHz,2GB,Windows 10,2016,159.2
Lenovo,2-in-1 Convertible,13.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1123.62
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1533.82
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,709.05
HP,Notebook,17,AMD A9-9420 3.0GHz,8GB,Windows 10,2017,333.04
Lenovo,Ultrabook,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1566.43
Asus,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,No OS,2017,747.41
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,287.71
Lenovo,Notebook,14,Intel Celeron N3060 1.6GHz,4GB,Windows 10,2016,175.18
Acer,Ultrabook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,587.57
Razer,Gaming,14,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1661.7
Toshiba,Notebook,13.3,Intel Core i5-6200U 2.3GHz,8GB,Windows 10,2016,775.54
Lenovo,Ultrabook,12.5,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1012.75
Asus,Gaming,17.3,Intel Core i7-6820HK 2.7GHz,32GB,Windows 10,2016,1789.57
Acer,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Linux,2017,453.31
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,927.01
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,761.99
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,233.3
Toshiba,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,680.28
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,587.57
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,725.67
Lenovo,Gaming,15.6,Intel Core i7-6700HQ 2.6GHz,8GB,Windows 10,2016,764.67
Dell,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,32GB,Windows 10,2017,2012.3
Dell,Notebook,14,Intel Core i5-6300U 2.4GHz,8GB,Windows 10,2016,785.77
Lenovo,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,267.89
Lenovo,Notebook,15.6,Intel Core i5-6200U 2.3GHz,4GB,Windows 10,2016,342.06
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,6GB,Windows 10,2016,344.62
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,950.58
Toshiba,Notebook,15.6,Intel Core i3-6100U 2.3GHz,4GB,Windows 10,2016,318.4
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,610.59
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,476.32
Toshiba,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,804.31
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,263.42
Microsoft,Ultrabook,13.5,Intel Core i7-7600U 2.8GHz,8GB,Windows 10 S,2017,1194.23
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,522.96
Lenovo,2-in-1 Convertible,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,661.1
Lenovo,Notebook,15.6,AMD E-Series E2-9000 2.2GHz,4GB,Windows 10,2016,223.14
HP,2-in-1 Convertible,14,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,446.91
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,827.33
Asus,Ultrabook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,725.67
HP,2-in-1 Convertible,11.6,Intel Celeron N3350 1.1GHz,8GB,Chrome OS,2016,316.48
LG,Ultrabook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1469.89
Acer,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,16GB,Windows 10,2017,830.53
MSI,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,638.02
Asus,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,267.89
Dell,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,16GB,Windows 10,2017,1311.33
HP,Notebook,17.3,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,446.91
Lenovo,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,958.4
Dell,Gaming,15.6,Intel Core i7-7820HK 2.9GHz,16GB,Windows 10,2017,1799
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,391.68
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,348.88
HP,Notebook,17.3,AMD A10-Series 9600P 2.4GHz,6GB,Windows 10,2017,363.8
Lenovo,Notebook,15.6,Intel Celeron Dual Core 3855U 1.6GHz,4GB,Windows 10,2016,203.32
Acer,Notebook,14,Intel Celeron Dual Core 3855U 1.6GHz,4GB,Chrome OS,2016,239.76
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,446.91
HP,Workstation,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1219.89
Lenovo,2-in-1 Convertible,14,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,1655.94
Toshiba,Notebook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,622.1
Acer,Netbook,11.6,Intel Celeron Dual Core N3050 1.6GHz,4GB,Windows 10,2016,171.99
Lenovo,2-in-1 Convertible,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1118.24
Asus,2-in-1 Convertible,12.5,Intel Core M M3-6Y30 0.9GHz,4GB,Chrome OS,2016,427.73
Toshiba,Ultrabook,13.3,Intel Core i7-6500U 2.5GHz,16GB,Windows 10,2016,1200.08
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,4GB,Windows 10,2017,440.52
Dell,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,523.64
Lenovo,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,255.1
Lenovo,Notebook,15.6,AMD A12-9720P 2.7GHz,8GB,Windows 10,2017,274.29
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,397.33
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,287.71
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,508.29
Acer,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,638.72
Lenovo,Workstation,15.6,Intel Core i7-6500U 2.5GHz,16GB,Windows 7,2016,1186.01
Lenovo,Notebook,14,Intel Core i5-6300HQ 2.3GHz,8GB,Windows 10,2016,761.48
HP,Notebook,17.3,AMD A10-Series 9620P 2.5GHz,6GB,Windows 10,2017,418.79
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,798.56
Dell,Notebook,14,Intel Core i5-7440HQ 2.8GHz,8GB,Linux,2017,696.26
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Linux,2017,464.18
Asus,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,190.53
Dell,Notebook,15.6,Intel Core i5-7300U 2.6GHz,16GB,Windows 10,2017,912.15
Lenovo,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,547.98
Dell,Notebook,15.6,Intel Core i5-7300U 2.6GHz,8GB,Windows 10,2017,753.81
Lenovo,Notebook,15.6,AMD A6-Series 7310 2GHz,4GB,Windows 10,2017,190.53
Mediacom,Notebook,14,Intel Atom Z8350 1.92GHz,4GB,Windows 10,2018,169.43
HP,Notebook,17.3,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,767.23
Lenovo,Ultrabook,14,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,1078.37
HP,2-in-1 Convertible,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,534.89
Lenovo,Ultrabook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,958.4
Dell,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,32GB,Windows 10,2017,2339.67
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,862.16
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,No OS,2017,313.22
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,459.7
Dell,2-in-1 Convertible,13.3,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,414.94
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Linux,2017,376.92
HP,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,312.65
Acer,Gaming,17.3,Intel Core i7-6700HQ 2.6GHz,16GB,Windows 10,2016,1237.16
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,12GB,Windows 10,2017,414.94
HP,Notebook,15.6,AMD A9-Series A9-9420 3GHz,6GB,Windows 10,2017,415.58
Acer,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,357.4
Lenovo,Notebook,13.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,613.79
Lenovo,Notebook,15.6,Intel Core i7-7500U 2.7GHz,4GB,Windows 10,2017,498.06
HP,Workstation,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1546.61
Dell,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,421.34
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1339.13
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,262.65
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,771.71
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,425.17
Toshiba,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,981.42
Lenovo,2-in-1 Convertible,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,638.72
Lenovo,Workstation,15.6,Intel Core i7-7600U 2.8GHz,16GB,Windows 10,2017,2109.25
Acer,Notebook,14,Intel Celeron N3060 1.6GHz,2GB,Chrome OS,2016,210.99
Samsung,Ultrabook,13.3,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1054.3
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,344.62
Dell,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,720.37
HP,Workstation,17.3,Intel Xeon E3-1535M v5 2.9GHz,16GB,Windows 7,2016,2806.15
